code,label_ko
0027,제조/산업재
0021,금융/지주
0016,유통/상사
0018,건설/인프라
0019,운송/물류
0028,부동산/리츠
0029,IT서비스/소프트웨어
0030,미디어/엔터/레저
0017,유틸리티/에너지
0020,통신
0026,서비스/지주
1009,코스닥 제조/기술
1006,기술성장기업
1014,지주/스팩
1011,유통/소비재
1015,미디어/엔터테인먼트
1010,건설/엔지니어링
1013,운송/물류
